"","ENTREZID","SYMBOL","GENENAME"
"68","55210","ATAD3A","ATPase family AAA domain containing 3A"
"69","339453","TMEM240","transmembrane protein 240"
"70","29101","SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase"
"71","643988","FNDC10","fibronectin type III domain containing 10"
"72","142678","MIB2","mindbomb E3 ubiquitin protein ligase 2"
"73","8510","MMP23B","matrix metallopeptidase 23B"
"74","984","CDK11B","cyclin dependent kinase 11B"
"75","728661","SLC35E2B","solute carrier family 35 member E2B"
"76","8511","MMP23A","matrix metallopeptidase 23A (pseudogene)"
"77","728642","CDK11A","cyclin dependent kinase 11A"
"78","9906","SLC35E2A","solute carrier family 35 member E2A"
"79","65220","NADK","NAD kinase"
"80","2782","GNB1","G protein subunit beta 1"
"81","105378949","LOC105378949","collagen alpha-2(VIII) chain"
"82","163688","CALML6","calmodulin like 6"
"83","339456","TMEM52","transmembrane protein 52"
"84","85452","CFAP74","cilia and flagella associated protein 74"
"85","2563","GABRD","gamma-aminobutyric acid type A receptor delta subunit"
"86","5590","PRKCZ","protein kinase C zeta"
"87","100506504","PRKCZ-AS1","PRKCZ antisense RNA 1"
"88","199990","FAAP20","FA core complex associated protein 20"
"89","105378592",NA,NA
"90","6497","SKI","SKI proto-oncogene"
"91","105378594",NA,NA
"92","79906","MORN1","MORN repeat containing 1"
"93","100129534","LOC100129534","small nuclear ribonucleoprotein polypeptide N pseudogene"
"94","11079","RER1","retention in endoplasmic reticulum sorting receptor 1"
"95","5192","PEX10","peroxisomal biogenesis factor 10"
"96","9651","PLCH2","phospholipase C eta 2"
"97","55229","PANK4","pantothenate kinase 4 (inactive)"
"98","388585","HES5","hes family bHLH transcription factor 5"
"99","115110","TNFRSF14-AS1","TNFRSF14 antisense RNA 1"
"100","8764","TNFRSF14","TNF receptor superfamily member 14"
"101","100996583","LOC100996583","uncharacterized LOC100996583"
"102","127281","PRXL2B","peroxiredoxin like 2B"
"103","79258","MMEL1","membrane metalloendopeptidase like 1"
"104","100287898","TTC34","tetratricopeptide repeat domain 34"
"105","140625","ACTRT2","actin related protein T2"
"106","440556","PRDM16-DT","PRDM16 divergent transcript"
"107","63976","PRDM16","PR/SET domain 16"
"108","100422968","MIR4251","microRNA 4251"
"109","27237","ARHGEF16","Rho guanine nucleotide exchange factor 16"
"110","1953","MEGF6","multiple EGF like domains 6"
"111","693135","MIR551A","microRNA 551a"
"112","127262","TPRG1L","tumor protein p63 regulated 1 like"
"113","49856","WRAP73","WD repeat containing, antisense to TP73"
"114","7161","TP73","tumor protein p73"
"115","57212","TP73-AS1","TP73 antisense RNA 1"
"116","148870","CCDC27","coiled-coil domain containing 27"
"117","388588","SMIM1","small integral membrane protein 1 (Vel blood group)"
"118","57470","LRRC47","leucine rich repeat containing 47"
"119","9731","CEP104","centrosomal protein 104"
"120","1677","DFFB","DNA fragmentation factor subunit beta"
"121","339448","C1orf174","chromosome 1 open reading frame 174"
"122","100133612","LINC01134","long intergenic non-protein coding RNA 1134"
"123","728716","LINC01346","long intergenic non-protein coding RNA 1346"
"124","284661","LINC01777","long intergenic non-protein coding RNA 1777"
"125","55966","AJAP1","adherens junctions associated protein 1"
"126","100616489",NA,NA
"127","100616421","MIR4689","microRNA 4689"
"128","261734","NPHP4","nephrocystin 4"
"129","8514","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"130","26038","CHD5","chromodomain helicase DNA binding protein 5"
"131","6146","RPL22","ribosomal protein L22"
"132","102724450","LOC102724450","uncharacterized LOC102724450"
"133","388591","RNF207","ring finger protein 207"
"134","23463","ICMT","isoprenylcysteine carboxyl methyltransferase"
"135","148645","LINC00337","long intergenic non-protein coding RNA 337"
"136","390992","HES3","hes family bHLH transcription factor 3"
"137","387509","GPR153","G protein-coupled receptor 153"
"138","11332","ACOT7","acyl-CoA thioesterase 7"
"139","54626","HES2","hes family bHLH transcription factor 2"
"140","83715","ESPN","espin"
"141","100422975","MIR4252","microRNA 4252"
"142","8718","TNFRSF25","TNF receptor superfamily member 25"
"143","57449","PLEKHG5","pleckstrin homology and RhoGEF domain containing G5"
"144","79707","NOL9","nucleolar protein 9"
"145","80835","TAS1R1","taste 1 receptor member 1"
"146","3104","ZBTB48","zinc finger and BTB domain containing 48"
"147","9903","KLHL21","kelch like family member 21"
"148","148479","PHF13","PHD finger protein 13"
"149","90326","THAP3","THAP domain containing 3"
"150","55735","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11"
"151","100505887","LINC01672","long intergenic non-protein coding RNA 1672"
"152","23261","CAMTA1","calmodulin binding transcription activator 1"
"153","9341","VAMP3","vesicle associated membrane protein 3"
"154","8863","PER3","period circadian regulator 3"
"155","10911","UTS2","urotensin 2"
"156","3604","TNFRSF9","TNF receptor superfamily member 9"
"157","11315","PARK7","Parkinsonism associated deglycase"
"158","54206","ERRFI1","ERBB receptor feedback inhibitor 1"
"159","102724539","LINC01714","long intergenic non-protein coding RNA 1714"
"160","50651","SLC45A1","solute carrier family 45 member 1"
"161","473","RERE","arginine-glutamic acid dipeptide repeats"
"162","102724552","RERE-AS1","RERE antisense RNA 1"
"163","2023","ENO1","enolase 1"
"164","102465436","MIR6728","microRNA 6728"
"165","100505975","ENO1-AS1","ENO1 antisense RNA 1"
"166","765","CA6","carbonic anhydrase 6"
"167","155184","SLC2A7","solute carrier family 2 member 7"
"168","6518","SLC2A5","solute carrier family 2 member 5"
"169","80045","GPR157","G protein-coupled receptor 157"
"170","407040","MIR34A","microRNA 34a"
"171","9563","H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"
"172","80176","SPSB1","splA/ryanodine receptor domain and SOCS box containing 1"
"173","100506022","LINC02606","long intergenic non-protein coding RNA 2606"
"174","84275","SLC25A33","solute carrier family 25 member 33"
"175","199953","TMEM201","transmembrane protein 201"
"176","5293","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"177","644997","PIK3CD-AS1","PIK3CD antisense RNA 1"
"178","101929074","PIK3CD-AS2","PIK3CD antisense RNA 2"
"179","22883","CLSTN1","calsyntenin 1"
"180","56998","CTNNBIP1","catenin beta interacting protein 1"
"181","84328","LZIC","leucine zipper and CTNNBIP1 domain containing"
"182","64802","NMNAT1","nicotinamide nucleotide adenylyltransferase 1"
"183","100847055","MIR5697","microRNA 5697"
"184","105376719",NA,NA
"185","116362","RBP7","retinol binding protein 7"
"186","10277","UBE4B","ubiquitination factor E4B"
"187","23095","KIF1B","kinesin family member 1B"
"188","100422970",NA,NA
"189","5226","PGD","phosphogluconate dehydrogenase"
"190","100526739","CENPS-CORT","CENPS-CORT readthrough"
"191","378708","CENPS","centromere protein S"
"192","1325","CORT","cortistatin"
"193","1676","DFFA","DNA fragmentation factor subunit alpha"
"194","5195","PEX14","peroxisomal biogenesis factor 14"
"195","54897","CASZ1","castor zinc finger 1"
"196","148345","C1orf127","chromosome 1 open reading frame 127"
"197","23435","TARDBP","TAR DNA binding protein"
"198","10747","MASP2","mannan binding lectin serine peptidase 2"
"199","6723","SRM","spermidine synthase"
"200","5394","EXOSC10","exosome component 10"
"201","2475","MTOR","mechanistic target of rapamycin kinase"
"202","100873935","MTOR-AS1","MTOR antisense RNA 1"
"203","10218","ANGPTL7","angiopoietin like 7"
"204","29914","UBIAD1","UbiA prenyltransferase domain containing 1"
"205","57540","DISP3","dispatched RND transporter family member 3"
"206","101929181","LINC01647","long intergenic non-protein coding RNA 1647"
"207","26232","FBXO2","F-box protein 2"
"208","93611","FBXO44","F-box protein 44"
"209","26270","FBXO6","F-box protein 6"
"210","10459","MAD2L2","mitotic arrest deficient 2 like 2"
"211","374946","DRAXIN","dorsal inhibitory axon guidance protein"
"212","57085","AGTRAP","angiotensin II receptor associated protein"
"213","284498","C1orf167","chromosome 1 open reading frame 167"
"214","102724659","C1orf167-AS1","C1orf167 antisense RNA 1"
"215","4524","MTHFR","methylenetetrahydrofolate reductase"
"216","1185","CLCN6","chloride voltage-gated channel 6"
"217","100379251","NPPA-AS1","NPPA antisense RNA 1"
"218","4878","NPPA","natriuretic peptide A"
"219","4879","NPPB","natriuretic peptide B"
"220","26829","RNU5E-1","RNA, U5E small nuclear 1"
"221","90231","KIAA2013","KIAA2013"
"222","5351","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
"223","9927","MFN2","mitofusin 2"
"224","60672","MIIP","migration and invasion inhibitory protein"
"225","102466982","MIR6729","microRNA 6729"
"226","943","TNFRSF8","TNF receptor superfamily member 8"
"227","102465836","MIR7846","microRNA 7846"
"228","7133","TNFRSF1B","TNF receptor superfamily member 1B"
"229","100616438","MIR4632","microRNA 4632"
"230","55187","VPS13D","vacuolar protein sorting 13 homolog D"
"231","677885","SNORA59A","small nucleolar RNA, H/ACA box 59A"
"232","9249","DHRS3","dehydrogenase/reductase 3"
"233","102466722","MIR6730","microRNA 6730"
"234","343066","AADACL4","arylacetamide deacetylase like 4"
"235","126767","AADACL3","arylacetamide deacetylase like 3"
"236","93190","C1orf158","chromosome 1 open reading frame 158"
"237","390999","PRAMEF12","PRAME family member 12"
"238","65121","PRAMEF1","PRAME family member 1"
"239","440560","PRAMEF11","PRAME family member 11"
"240","343069","HNRNPCL1","heterogeneous nuclear ribonucleoprotein C like 1"
"241","65122","PRAMEF2","PRAME family member 2"
"242","400735","PRAMEF4","PRAME family member 4"
"243","343071","PRAMEF10","PRAME family member 10"
"244","441871","PRAMEF7","PRAME family member 7"
"245","440561","PRAMEF6","PRAME family member 6"
"246","653606","PRAMEF22","PRAME family member 22"
"247","102724742","PRAMEF28P","PRAME family member 28, pseudogene"
"248","101929983","PRAMEF27","PRAME family member 27"
"249","649330","HNRNPCL3","heterogeneous nuclear ribonucleoprotein C like 3"
"250","441873","PRAMEF25","PRAME family member 25"
"251","649324","PRAMEF34P","PRAME family member 34, pseudogene"
"252","440563","HNRNPCL2","heterogeneous nuclear ribonucleoprotein C like 2"
"253","645354","PRAMEF36P","PRAME family member 36, pseudogene"
"254","645359","PRAMEF26","PRAME family member 26"
"255","101060301","HNRNPCL4","heterogeneous nuclear ribonucleoprotein C like 4"
"256","343070","PRAMEF9","PRAME family member 9"
"257","400736","PRAMEF13","PRAME family member 13"
"258","391003","PRAMEF18","PRAME family member 18"
"259","343068","PRAMEF5","PRAME family member 5"
"260","391002","PRAMEF8","PRAME family member 8"
"261","645382","PRAMEF33","PRAME family member 33"
"262","653619","PRAMEF15","PRAME family member 15"
"263","729528","PRAMEF14","PRAME family member 14"
"264","645414","PRAMEF19","PRAME family member 19"
"265","391004","PRAMEF17","PRAME family member 17"
"266","645425","PRAMEF20","PRAME family member 20"
"267","126755","LRRC38","leucine rich repeat containing 38"
"268","10630","PDPN","podoplanin"
"269","7799","PRDM2","PR/SET domain 2"
"270","23254","KAZN","kazrin, periplakin interacting protein"
"271","200197","TMEM51-AS1","TMEM51 antisense RNA 1"
"272","55092","TMEM51","transmembrane protein 51"
"273","727684","C1orf195","chromosome 1 open reading frame 195"
"274","114827","FHAD1","forkhead associated phosphopeptide binding domain 1"
"275","101927417","FHAD1-AS1","FHAD1 antisense RNA 1"
"276","79180","EFHD2","EF-hand domain family member D2"
"277","11330","CTRC","chymotrypsin C"
"278","63036","CELA2A","chymotrypsin like elastase 2A"
"279","51032","CELA2B","chymotrypsin like elastase 2B"
"280","842","CASP9","caspase 9"
"281","23341","DNAJC16","DnaJ heat shock protein family (Hsp40) member C16"
"282","79814","AGMAT","agmatinase"
"283","84301","DDI2","DNA damage inducible 1 homolog 2"
"284","6248","RSC1A1","regulator of solute carriers 1"
"285","23207","PLEKHM2","pleckstrin homology and RUN domain containing M2"
"286","284723","SLC25A34","solute carrier family 25 member 34"
"287","388595","TMEM82","transmembrane protein 82"
"288","54751","FBLIM1","filamin binding LIM protein 1"
"289","440567","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like"
"290","729614","FLJ37453","uncharacterized LOC729614"
"291","23013","SPEN","spen family transcriptional repressor"
"292","7709","ZBTB17","zinc finger and BTB domain containing 17"
"293","101928566","TBC1D3P6","TBC1 domain family member 3 pseudogene 6"
"294","149563","SRARP","steroid receptor associated and regulated protein"
"295","27129","HSPB7","heat shock protein family B (small) member 7"
"296","1187","CLCNKA","chloride voltage-gated channel Ka"
"297","1188","CLCNKB","chloride voltage-gated channel Kb"
"298","348487","FAM131C","family with sequence similarity 131 member C"
"299","1969","EPHA2","EPH receptor A2"
"300","128272","ARHGEF19","Rho guanine nucleotide exchange factor 19"
"301","101927546","ANO7L1","anoctamin 7 like 1 (pseudogene)"
"302","79363","CPLANE2","ciliogenesis and planar polarity effector 2"
"303","54455","FBXO42","F-box protein 42"
"304","26099","SZRD1","SUZ RNA binding domain containing 1"
"305","374955","SPATA21","spermatogenesis associated 21"
"306","55707","NECAP2","NECAP endocytosis associated 2"
"307","114819","CROCCP3","CROCC pseudogene 3"
"308","26871","RNU1-1","RNA, U1 small nuclear 1"
"309","100126512",NA,NA
"310","100126517",NA,NA
"311","102724970",NA,NA
"312","100133301",NA,NA
"313","7195","TRNAG1","tRNA glycine1 (anticodon CCC)"
"314","55672","NBPF1","NBPF member 1"
"315","84809","CROCCP2","CROCC pseudogene 2"
"316","11209","MST1P2","macrophage stimulating 1 pseudogene 2"
"317","26869","RNU1-3","RNA, U1 small nuclear 3"
"318","729574",NA,NA
"319","100126533",NA,NA
"320","284729","ESPNP","espin pseudogene"
"321","100189045","TRG-CCC5-1","tRNA-Gly (CCC) 5-1"
"322","102723383",NA,NA
"323","6060","RNU1-4","RNA, U1 small nuclear 4"
"324","11223","MST1L","macrophage stimulating 1 like"
"325","100500876","MIR3675","microRNA 3675"
"326","100189298","TRG-CCC1-2","tRNA-Gly (anticodon CCC) 1-2"
"327","7193","TRE-TTC3-1","tRNA-Glu (anticodon TTC) 3-1"
"328","791226","TRN-GTT4-1","tRNA-Asn (anticodon GTT) 4-1"
"329","9696","CROCC","ciliary rootlet coiled-coil, rootletin"
"330","26870","RNU1-2","RNA, U1 small nuclear 2"
"331","4237","MFAP2","microfibril associated protein 2"
"332","23400","ATP13A2","ATPase cation transporting 13A2"
"333","6390","SDHB","succinate dehydrogenase complex iron sulfur subunit B"
"334","11240","PADI2","peptidyl arginine deiminase 2"
"335","29943","PADI1","peptidyl arginine deiminase 1"
"336","51702","PADI3","peptidyl arginine deiminase 3"
"337","100616188","MIR3972","microRNA 3972"
"338","23569","PADI4","peptidyl arginine deiminase 4"
"339","353238","PADI6","peptidyl arginine deiminase 6"
"340","55920","RCC2","regulator of chromosome condensation 2"
"341","55160","ARHGEF10L","Rho guanine nucleotide exchange factor 10 like"
"342","81569","ACTL8","actin like 8"
"343","101927876","LINC01654","long intergenic non-protein coding RNA 1654"
"344","84966","IGSF21","immunoglobin superfamily member 21"
"345","127707","KLHDC7A","kelch domain containing 7A"
"346","5081","PAX7","paired box 7"
"347","80834","TAS1R2","taste 1 receptor member 2"
"348","8659","ALDH4A1","aldehyde dehydrogenase 4 family member A1"
"349","100616120","MIR4695","microRNA 4695"
"350","100302276","MIR1290","microRNA 1290"
"351","126917","IFFO2","intermediate filament family orphan 2"
"352","23352","UBR4","ubiquitin protein ligase E3 component n-recognin 4"
"353","23065","EMC1","ER membrane protein complex subunit 1"
"354","51154","MRTO4","MRT4 homolog, ribosome maturation factor"
"355","246181","AKR7L","aldo-keto reductase family 7 like (gene/pseudogene)"
"356","22977","AKR7A3","aldo-keto reductase family 7 member A3"
"357","100506730","LOC100506730","uncharacterized LOC100506730"
"358","8574","AKR7A2","aldo-keto reductase family 7 member A2"
"359","54896","SLC66A1","solute carrier family 66 member 1"
"360","832","CAPZB","capping actin protein of muscle Z-line subunit beta"
"361","100532736","MICOS10-NBL1","MICOS10-NBL1 readthrough"
"362","440574","MICOS10","mitochondrial contact site and cristae organizing system subunit 10"
"363","644068","RPS14P3","ribosomal protein S14 pseudogene 3"
"364","4681","NBL1","NBL1, DAN family BMP antagonist"
"365","3362","HTR6","5-hydroxytryptamine receptor 6"
"366","255104","TMCO4","transmembrane and coiled-coil domains 4"
"367","54546","RNF186","ring finger protein 186"
"368","23252","OTUD3","OTU deubiquitinase 3"
"369","30814","PLA2G2E","phospholipase A2 group IIE"
"370","5320","PLA2G2A","phospholipase A2 group IIA"
"371","5322","PLA2G5","phospholipase A2 group V"
"372","26279","PLA2G2D","phospholipase A2 group IID"
"373","64600","PLA2G2F","phospholipase A2 group IIF"
"374","391013","PLA2G2C","phospholipase A2 group IIC"
"375","127733","UBXN10","UBX domain protein 10"
"376","101928017","UBXN10-AS1","UBXN10 antisense RNA 1"
"377","127731","VWA5B1","von Willebrand factor A domain containing 5B1"
"378","339505","LINC01141","long intergenic non-protein coding RNA 1141"
"379","55450","CAMK2N1","calcium/calmodulin dependent protein kinase II inhibitor 1"
"380","79594","MUL1","mitochondrial E3 ubiquitin protein ligase 1"
"381","163933","FAM43B","family with sequence similarity 43 member B"
"382","978","CDA","cytidine deaminase"
"383","65018","PINK1","PTEN induced kinase 1"
"384","102464833","MIR6084","microRNA 6084"
"385","100861548","PINK1-AS","PINK1 antisense RNA"
"386","1650","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit"
"387","57576","KIF17","kinesin family member 17"
"388","400745","SH2D5","SH2 domain containing 5"
"389","50809","HP1BP3","heterochromatin protein 1 binding protein 3"
"390","8672","EIF4G3","eukaryotic translation initiation factor 4 gamma 3"
"391","100302155","MIR1256","microRNA 1256"
"392","1889","ECE1","endothelin converting enzyme 1"
"393","100506801","ECE1-AS1","ECE1 antisense RNA 1"
"394","84224","NBPF3","NBPF member 3"
"395","249","ALPL","alkaline phosphatase, biomineralization associated"
"396","5909","RAP1GAP","RAP1 GTPase activating protein"
"397","84196","USP48","ubiquitin specific peptidase 48"
"398","401944","LDLRAD2","low density lipoprotein receptor class A domain containing 2"
"399","3339","HSPG2","heparan sulfate proteoglycan 2"
"400","23436","CELA3B","chymotrypsin like elastase 3B"
"401","10136","CELA3A","chymotrypsin like elastase 3A"
"402","101928043","LINC01635","long intergenic non-protein coding RNA 1635"
"403","29092","LINC00339","long intergenic non-protein coding RNA 339"
"404","998","CDC42","cell division cycle 42"
"405","54361","WNT4","Wnt family member 4"
"406","100616433","MIR4418","microRNA 4418"
"407","9923","ZBTB40","zinc finger and BTB domain containing 40"
"408","2046","EPHA8","EPH receptor A8"
"409","102466615","MIR6127","microRNA 6127"
"410","712","C1QA","complement C1q A chain"
"411","714","C1QC","complement C1q C chain"
"412","713","C1QB","complement C1q B chain"
"413","2048","EPHB2","EPH receptor B2"
"414","100616391","MIR4684","microRNA 4684"
"415","100422914","MIR4253","microRNA 4253"
"416","646262","LACTBL1","lactamase beta like 1"
"417","729059","TEX46","testis expressed 46"
"418","23028","KDM1A","lysine demethylase 1A"
"419","100422866","MIR3115","microRNA 3115"
"420","100616177",NA,NA
"421","7798","LUZP1","leucine zipper protein 1"
"422","3352","HTR1D","5-hydroxytryptamine receptor 1D"
"423","100996511","LINC01355","long intergenic non-protein coding RNA 1355"
"424","10236","HNRNPR","heterogeneous nuclear ribonucleoprotein R"
"425","80818","ZNF436","zinc finger protein 436"
"426","148898","ZNF436-AS1","ZNF436 antisense RNA 1"
"427","6920","TCEA3","transcription elongation factor A3"
"428","55616","ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
"429","1870","E2F2","E2F transcription factor 2"
"430","101928163","LOC101928163","uncharacterized LOC101928163"
"431","3399","ID3","inhibitor of DNA binding 3, HLH protein"
"432","259283","MDS2","myelodysplastic syndrome 2 translocation associated"
"433","6135","RPL11","ribosomal protein L11"
"434","6924","ELOA","elongin A"
"435","100506963","ELOA-AS1","ELOA antisense RNA 1"
"436","57095","PITHD1","PITH domain containing 1"
"437","11313","LYPLA2","lysophospholipase 2"
"438","2582","GALE","UDP-galactose-4-epimerase"
"439","3155","HMGCL","3-hydroxy-3-methylglutaryl-CoA lyase"
"440","2517","FUCA1","alpha-L-fucosidase 1"
"441","1269","CNR2","cannabinoid receptor 2"
"442","100616492","MIR378F","microRNA 378f"
"443","55629","PNRC2","proline rich nuclear receptor coactivator 2"
"444","10772","SRSF10","serine and arginine rich splicing factor 10"
"445","127294","MYOM3","myomesin 3"
"446","58985","IL22RA1","interleukin 22 receptor subunit alpha 1"
"447","163702","IFNLR1","interferon lambda receptor 1"
"448","284632","LINC02800","long intergenic non-protein coding RNA 2800"
"449","57822","GRHL3","grainyhead like transcription factor 3"
"450","90529","STPG1","sperm tail PG-rich repeat containing 1"
"451","57185","NIPAL3","NIPA like domain containing 3"
"452","100750325","RCAN3AS","RCAN3 antisense RNA"
"453","11123","RCAN3","RCAN family member 3"
"454","100506985","NCMAP-DT","NCMAP divergent transcript"
"455","400746","NCMAP","non-compact myelin associated protein"
"456","10250","SRRM1","serine and arginine repetitive matrix 1"
"457","25932","CLIC4","chloride intracellular channel 4"
"458","864","RUNX3","RUNX family transcription factor 3"
"459","102465437","MIR6731","microRNA 6731"
"460","100616365","MIR4425","microRNA 4425"
"461","25949","SYF2","SYF2 pre-mRNA splicing factor"
"462","57035","RSRP1","arginine and serine rich protein 1"
"463","6007","RHD","Rh blood group D antigen"
"464","23585","TMEM50A","transmembrane protein 50A"
"465","6006","RHCE","Rh blood group CcEe antigens"
"466","55219","MACO1","macoilin 1"
"467","26119","LDLRAP1","low density lipoprotein receptor adaptor protein 1"
"468","57134","MAN1C1","mannosidase alpha class 1C member 1"
"469","57190","SELENON","selenoprotein N"
"470","56181","MTFR1L","mitochondrial fission regulator 1 like"
"471","646471","LOC646471","uncharacterized LOC646471"
"472","79000","AUNIP","aurora kinase A and ninein interacting protein"
"473","164091","PAQR7","progestin and adipoQ receptor family member 7"
"474","3925","STMN1","stathmin 1"
"475","100500808","MIR3917","microRNA 3917"
"476","5051","PAFAH2","platelet activating factor acetylhydrolase 2"
"477","2134","EXTL1","exostosin like glycosyltransferase 1"
"478","7780","SLC30A2","solute carrier family 30 member 2"
"479","105376910","LOC105376910","uncharacterized LOC105376910"
"480","84676","TRIM63","tripartite motif containing 63"
"481","149420","PDIK1L","PDLIM1 interacting kinase 1 like"
"482","79927","FAM110D","family with sequence similarity 110 member D"
"483","105376887",NA,NA
"484","51042","ZNF593","zinc finger protein 593"
"485","10256","CNKSR1","connector enhancer of kinase suppressor of Ras 1"
"486","378807","CATSPER4","cation channel sperm associated 4"
"487","101928303","ZPLD2P","zona pellucida like domain containing 2, pseudogene"
"488","64793","CEP85","centrosomal protein 85"
"489","83442","SH3BGRL3","SH3 domain binding glutamate rich protein like 3"
"490","91544","UBXN11","UBX domain protein 11"
"491","1043","CD52","CD52 molecule"
"492","55057","CRYBG2","crystallin beta-gamma domain containing 2"
"493","257101","ZNF683","zinc finger protein 683"
"494","79727","LIN28A","lin-28 homolog A"
"495","79947","DHDDS","dehydrodolichyl diphosphate synthase subunit"
"496","101928324","DHDDS-AS1","DHDDS antisense RNA 1"
"497","3151","HMGN2","high mobility group nucleosomal binding domain 2"
"498","6195","RPS6KA1","ribosomal protein S6 kinase A1"
"499","100302190","MIR1976","microRNA 1976"
"500","101928728","LOC101928728","uncharacterized LOC101928728"
"501","8289","ARID1A","AT-rich interaction domain 1A"
"502","55650","PIGV","phosphatidylinositol glycan anchor biosynthesis class V"
"503","84243","ZDHHC18","zinc finger DHHC-type containing 18"
"504","2810","SFN","stratifin"
"505","54707","GPN2","GPN-loop GTPase 2"
"506","63906","GPATCH3","G-patch domain containing 3"
"507","10726","NUDC","nuclear distribution C, dynein complex regulator"
"508","8431","NR0B2","nuclear receptor subfamily 0 group B member 2"
"509","126695","KDF1","keratinocyte differentiation factor 1"
"510","388610","TRNP1","TMF1 regulated nuclear protein 1"
"511","115572","TENT5B","terminal nucleotidyltransferase 5B"
"512","6548","SLC9A1","solute carrier family 9 member A1"
"513","23038","WDTC1","WD and tetratricopeptide repeats 1"
"514","84065","TMEM222","transmembrane protein 222"
"515","644961","ACTG1P20","actin gamma 1 pseudogene 20"
